Metric,Value,CI_Low,CI_High,Null_Mean,Null_SD,Perm_P
ARI,0.004191363937349921,,,-0.00017485364851150542,0.000804444887170978,0.0
Cohen's d,0.030587706491428602,0.016185679585974142,0.05088109488085883,-2.0827756279663913e-05,0.0030502673873462395,0.0
Cramer's V Broad,0.08629334364682827,0.07299076805980213,0.10076885671368736,0.01699724224448308,0.004752666837731531,0.0
Cramer's V Sub,0.09451843299385604,0.06945871261040273,0.12216385961582567,0.01672809410029211,0.007402620785005977,0.0
Odd_Even_Split_Rho_Full,1.0,,,,,0.0
Odd_Even_Split_Rho_AttestLoci,0.942857142857143,,,,,0.0048046647230320545
