manuscript,substitution_morphological,substitution_lexical,substitution_word_order,addition,omission,total_variants
P66,2542,191,0,313,207,3253
aleph,3015,209,0,345,172,3741
A,2322,154,0,188,147,2811
D,1764,261,0,370,260,2655
