chapters,ari
1,0.004300689966002176
2,0.00041364528614034506
3,-0.002407153961252494
4,-0.0017073646524666255
5,-0.0035736204803813757
6,0.0013935424674007837
7,0.0015298096996117657
8,0.0051182365435790845
9,0.0013672893323156121
10,0.002614854618487024
11,0.000857428598655909
12,-0.0013277637911983046
13,0.0054551955218384
14,0.0026281976071258696
15,0.00360031952051656
16,0.009536558875785481
17,0.005830233958270976
18,0.00690971515647853
19,0.002677301624202686
20,-0.00062392973504256
21,0.004757320072973445
