Metric,Value,CI_Low,CI_High,Null_Mean,Null_SD,Perm_P
ARI,0.048729801339460414,,,-6.16033287527344e-05,0.0006785403183559124,0.0
Cohen's d,0.11856184609798205,0.08271642885117321,0.14992737773595993,-8.975905245664819e-05,0.003347681572876181,0.0
Cramer's V Broad,0.08629334364682827,0.07299076805980213,0.10076885671368736,0.01699724224448308,0.004752666837731531,0.0
Cramer's V Sub,0.09451843299385604,0.06945871261040273,0.12216385961582567,0.01672809410029211,0.007402620785005977,0.0
Odd_Even_Split_Rho_Full,0.8285714285714287,,,,,0.04156268221574334
Odd_Even_Split_Rho_AttestLoci,0.942857142857143,,,,,0.0048046647230320545
