Metric,Value,CI_Low,CI_High
ARI,0.04643685357834051,,
Cohen's d,0.12709994614124298,0.09381260722875595,0.15476566553115845
Cramer's V Broad,0.09975988806550525,0.08767494938725034,0.1119386334864782
Cramer's V Sub,0.09479466360199418,0.07459192218462336,0.1157818936543421
Odd_Even_Split_Rho,1.0,,
