manuscript,substitution_morphological,substitution_lexical,substitution_word_order,addition,omission,total_variants
P66,1658,128,0,197,149,2132
aleph,1857,119,0,188,82,2246
A,1641,107,0,137,98,1983
D,1351,208,0,271,190,2020
