manuscript,substitution_morphological,substitution_lexical,substitution_word_order,addition,omission,total_variants
P66,1903,164,0,266,217,2550
aleph,2475,193,0,293,168,3129
B,2325,148,0,150,191,2814
D,1274,199,0,305,210,1988
