Metric,Value,CI_Low,CI_High,Null_Mean,Null_SD,Perm_P
ARI,0.017047672750098674,,,-0.0005917311399179894,0.0016027761192923778,0.0
Cohen's d,0.0865753731277394,0.06599158831911855,0.11008519020354626,0.0005536800495710297,0.0036187198552473567,0.0
Cramer's V Broad,0.08681582049142228,0.057613938640560754,0.12162405218082169,0.05205242703181026,0.015494006809253478,0.08
Cramer's V Sub,0.22272499765883486,0.10483035318901367,0.36990203374615027,0.10063391149226299,0.045172221458822416,0.03
Odd_Even_Split_Rho_Full,0.4285714285714286,,,,,0.39650145772594736
Odd_Even_Split_Rho_AttestLoci,0.2,,,,,0.704
