Metric,Value,CI_Low,CI_High
ARI,0.04905749545302646,,
Cohen's d,0.1367265284061432,0.11159644275903702,0.17542226612567902
Cramer's V Broad,0.09255283735553793,0.07476213577551968,0.11158562956838118
Cramer's V Sub,0.108697998626435,0.08963520798203052,0.12949603137202265
Odd_Even_Split_Rho,0.942857142857143,,
