chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
15,J 15:19,A,μισει ϋμας,[OMIT],omission,κοσμου δια τουτο ο κοσμος μισει ϋμας,τουτο μισει υμας ο κοσμος
15,J 15:19,B,κοσμου,κοσ μου,substitution_morphological,ει εκ του κοσμου ητε ο κο σμος αν,ει εκ του κοσ μου ητε ο κοσμος αν το
15,J 15:19,B,κο σμος,κοσμος,substitution_morphological,εκ του κοσμου ητε ο κο σμος αν το ϊδιο¯ εφιλει οτι,του κοσ μου ητε ο κοσμος αν το ϊδιον εφιλει οτι
15,J 15:19,B,ϊδιο¯,ϊδιον,substitution_morphological,ο κο σμος αν το ϊδιο¯ εφιλει οτι δε εκ του,ητε ο κοσμος αν το ϊδιον εφιλει οτι δε εκ του
15,J 15:19,B,εξελε ξαμην,εξελεξα μην,substitution_morphological,ουκ ε στε αλλ εγω εξελε ξαμην ϋμας εκ του κοσμου δια,ουκ ε στε αλλ εγω εξελεξα μην ϋμας εκ του κοσμου δια
15,J 15:19,B,[ADD],μεισει ϋμας,addition,εκ του κοσμου δια τουτο ο κοσμος μισει ϋμας,εκ του κοσμου δια τουτο μεισει ϋμας ο κοσμος
15,J 15:19,B,μισει ϋμας,[OMIT],omission,κοσμου δια τουτο ο κοσμος μισει ϋμας,τουτο μεισει ϋμας ο κοσμος
15,J 15:19,D,κο σμος,κοσμος,substitution_morphological,εκ του κοσμου ητε ο κο σμος αν το ϊδιο¯ εφιλει οτι,εκ του κοσμου ητε ο κοσμος αν το ϊδιον εφειλει οτι
15,J 15:19,D,ϊδιο¯ εφιλει,ϊδιον εφειλει,substitution_morphological,ο κο σμος αν το ϊδιο¯ εφιλει οτι δε εκ του κοσμου,ητε ο κοσμος αν το ϊδιον εφειλει οτι εκ του κοσμου ητε
15,J 15:19,D,δε,[OMIT],omission,αν το ϊδιο¯ εφιλει οτι δε εκ του κοσμου ουκ ε,αν το ϊδιον εφειλει οτι εκ του κοσμου ητε ουκ
15,J 15:19,D,[ADD],ητε,addition,οτι δε εκ του κοσμου ουκ ε στε αλλ εγω,εφειλει οτι εκ του κοσμου ητε ουκ εστε αλλ εγω εξελεξαμην
15,J 15:19,D,ε στε,εστε,substitution_morphological,δε εκ του κοσμου ουκ ε στε αλλ εγω εξελε ξαμην ϋμας,εκ του κοσμου ητε ουκ εστε αλλ εγω εξελεξαμην ϋμας εκ
15,J 15:19,D,εξελε ξαμην,εξελεξαμην,substitution_morphological,ουκ ε στε αλλ εγω εξελε ξαμην ϋμας εκ του κοσμου δια,ητε ουκ εστε αλλ εγω εξελεξαμην ϋμας εκ του κοσμου δια
15,J 15:19,D,[ADD],μισει ϋμας,addition,εκ του κοσμου δια τουτο ο κοσμος μισει ϋμας,εκ του κοσμου δια τουτο μισει ϋμας ο κοσμος
15,J 15:19,D,μισει ϋμας,[OMIT],omission,κοσμου δια τουτο ο κοσμος μισει ϋμας,τουτο μισει ϋμας ο κοσμος
15,J 15:20,P66,μνη μονευεται τον λο γον ον,μνημονευεται του λογου ου,substitution_morphological,μνη μονευεται τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν ουκ,μνημονευεται του λογου ου εγω ειπον ϋμιν ουκ εσ
15,J 15:20,P66,ελαλησα ϋμασιν,ειπον,substitution_lexical,τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων,μνημονευεται του λογου ου εγω ειπον ϋμιν ουκ εσ τιν δουλος
15,J 15:20,P66,εστι¯,εσ τιν,substitution_morphological,εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων του κυ αυτου,ου εγω ειπον ϋμιν ουκ εσ τιν δουλος μειζων του κυ αυτου'
15,J 15:20,P66,αυτου,αυτου',substitution_morphological,εστι¯ δουλος μειζων του κυ αυτου ει εμε εδιωξαν και ϋμας,τιν δουλος μειζων του κυ αυτου' ει εμε εδιωξαν και ϋμας
15,J 15:20,P66,διωξουσιν,διωξουσι¯,substitution_morphological,ει εμε εδιωξαν και ϋμας διωξουσιν ει τον λογον μου ετηρη,ει εμε εδιωξαν και ϋμας διωξουσι¯ ει τον λογον μου ετηρησαν
15,J 15:20,P66,ετηρη σαν,ετηρησαν,substitution_morphological,διωξουσιν ει τον λογον μου ετηρη σαν και τον ϋμε τερον τηρησωσι¯,διωξουσι¯ ει τον λογον μου ετηρησαν και τον ϋ μετερον τηρησουσιν
15,J 15:20,P66,ϋμε τερον τηρησωσι¯,ϋ μετερον τηρησουσιν,substitution_morphological,μου ετηρη σαν και τον ϋμε τερον τηρησωσι¯,λογον μου ετηρησαν και τον ϋ μετερον τηρησουσιν
15,J 15:20,A,μνη μονευεται τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν,Μνημονευετε του λογου ου ε γω ειπον υμιν,substitution_morphological,μνη μονευεται τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων του,Μνημονευετε του λογου ου ε γω ειπον υμιν ουκ εστιν Δουλος μειζων του
15,J 15:20,A,εστι¯ δουλος,εστιν Δουλος,substitution_morphological,εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων του κυ αυτου ει,ε γω ειπον υμιν ουκ εστιν Δουλος μειζων του κυ αυτου ει
15,J 15:20,A,ϋμας διωξουσιν,υμας διω ξουσιν,substitution_morphological,αυτου ει εμε εδιωξαν και ϋμας διωξουσιν ει τον λογον μου ετηρη,αυτου ει εμε εδιωξαν και υμας διω ξουσιν ει τον λογον μου ετηρη
15,J 15:20,A,ϋμε τερον τηρησωσι¯,υμετερον τηρησουσι¯,substitution_morphological,μου ετηρη σαν και τον ϋμε τερον τηρησωσι¯,μου ετηρη σαν και τον υμετερον τηρησουσι¯
15,J 15:20,B,μνη μονευεται τον λο γον ον,μνημονευ †ετε του λογου ου,substitution_morphological,μνη μονευεται τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν ουκ,μνημονευ †ετε του λογου ου εγω ειπον ϋμιν ουκ εστιν
15,J 15:20,B,ελαλησα ϋμασιν,ειπον,substitution_lexical,τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων,†ετε του λογου ου εγω ειπον ϋμιν ουκ εστιν δουλος μειζων
15,J 15:20,B,εστι¯,εστιν,substitution_morphological,εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων του κυ αυτου,ου εγω ειπον ϋμιν ουκ εστιν δουλος μειζων του κυριου αυτου
15,J 15:20,B,κυ,κυριου,substitution_lexical,ουκ εστι¯ δουλος μειζων του κυ αυτου ει εμε εδιωξαν και,ουκ εστιν δουλος μειζων του κυριου αυτου ει εμε εδιωξαν και
15,J 15:20,B,διωξουσιν,διω ξουσιν,substitution_morphological,ει εμε εδιωξαν και ϋμας διωξουσιν ει τον λογον μου ετηρη,ει εμε εδιωξαν και ϋμας διω ξουσιν ει τον λογον μου ετηρησαν
15,J 15:20,B,ετηρη σαν,ετηρησαν,substitution_morphological,διωξουσιν ει τον λογον μου ετηρη σαν και τον ϋμε τερον τηρησωσι¯,ξουσιν ει τον λογον μου ετηρησαν και τον ϋ μετερον τηρησουσιν
15,J 15:20,B,ϋμε τερον τηρησωσι¯,ϋ μετερον τηρησουσιν,substitution_morphological,μου ετηρη σαν και τον ϋμε τερον τηρησωσι¯,λογον μου ετηρησαν και τον ϋ μετερον τηρησουσιν
15,J 15:20,D,μνη μονευεται τον λο γον ον,μνημονευετε τους λογους ους,substitution_morphological,μνη μονευεται τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν ουκ,μνημονευετε τους λογους ους εγω ειπον ϋμειν ουκ εστιν
15,J 15:20,D,ελαλησα ϋμασιν ϋμιν,ειπον ϋμειν,substitution_lexical,τον λο γον ον εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων του,μνημονευετε τους λογους ους εγω ειπον ϋμειν ουκ εστιν μου δουλος μειζων
15,J 15:20,D,εστι¯,εστιν μου,substitution_morphological,εγω ελαλησα ϋμασιν ϋμιν ουκ εστι¯ δουλος μειζων του κυ αυτου,ους εγω ειπον ϋμειν ουκ εστιν μου δουλος μειζων του κυ αυτου
