chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
6,J 6:49,aleph,[ADD],το μαννα,addition,οι πατερες ϋμω¯ εφαγον εν τη ερημω το μαννα,οι πατερες ϋ μων εφαγον το μαννα εν τη ερη μω και
6,J 6:49,aleph,ερημω το μαννα,ερη μω,substitution_lexical,πατερες ϋμω¯ εφαγον εν τη ερημω το μαννα και απεθανο¯,εφαγον το μαννα εν τη ερη μω και απεθανο¯
6,J 6:49,A,πατερες ϋμω¯ εφαγον,πρες υμων εφαγο¯ Το μαννα,substitution_morphological,οι πατερες ϋμω¯ εφαγον εν τη ερημω το μαννα,οι πρες υμων εφαγο¯ Το μαννα εν τη ερημω και απεθανον
6,J 6:49,A,το μαννα,[OMIT],omission,ϋμω¯ εφαγον εν τη ερημω το μαννα και απεθανο¯,Το μαννα εν τη ερημω και απεθανον
6,J 6:49,A,απεθανο¯,απεθανον,substitution_morphological,τη ερημω το μαννα και απεθανο¯,μαννα εν τη ερημω και απεθανον
6,J 6:49,D,ϋμω¯,ϋμων,substitution_morphological,οι πατερες ϋμω¯ εφαγον εν τη ερημω το,οι πατερες ϋμων εφαγον τον αρτον εν τη
6,J 6:49,D,[ADD],τον αρτον,addition,οι πατερες ϋμω¯ εφαγον εν τη ερημω το μαννα,οι πατερες ϋμων εφαγον τον αρτον εν τη ερημω το μαννα
6,J 6:49,D,απεθανο¯,απεθανον,substitution_morphological,τη ερημω το μαννα και απεθανο¯,τη ερημω το μαννα και απεθανον
6,J 6:50,P66,κα ταβαινων,καταβαινων,substitution_morphological,αρτος ο εκ του ουρανου κα ταβαινων ϊνα τις εξ αυ του,αρτος ο εκ του ουρανου καταβαινων ϊνα τις ε ξ αυτου
6,J 6:50,P66,εξ αυ του,ε ξ αυτου,substitution_morphological,ουρανου κα ταβαινων ϊνα τις εξ αυ του φαγη και μη απο θνησκη,του ουρανου καταβαινων ϊνα τις ε ξ αυτου φαγη και μη αποθανη
