chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
11,J 11:7,A,μετα του το,με τα τουτο,substitution_morphological,επειτα μετα του το λεγει τοις μαθηταις αγωμεν εις,επειτα με τα τουτο λεγει τοις μαθηταις αυτου αγωμεν
11,J 11:7,A,[ADD],αυτου,addition,του το λεγει τοις μαθηταις αγωμεν εις την ϊου δαιαν,τα τουτο λεγει τοις μαθηταις αυτου αγωμεν εις την ιουδαια¯ πολιν
11,J 11:7,D,του το,τουτο,substitution_morphological,επειτα μετα του το λεγει τοις μαθηταις αγωμεν εις,ειτα μετα τουτο λεγει τοις κατ ιωαν μαθηταις
11,J 11:7,D,[ADD],αυτου,addition,του το λεγει τοις μαθηταις αγωμεν εις την ϊου δαιαν,λεγει τοις κατ ιωαν μαθηταις αυτου αγωμεν ις εις την ϊουδαιαν
11,J 11:9,aleph,[ADD],του,addition,οτι το φως του κοσμου τουτου βλεπει,οτι το φως του κοσμου του τουτου βλεπει
11,J 11:10,D,[ADD],αυτη,addition,το φως ουκ εστιν εν αυτω,το φως ουκ εστιν εν αυτη αυτω
11,J 11:12,aleph,[ADD],αυτω,addition,ειπον ουν οι μα θηται αυτω κε,ειπαν ουν αυτω οι μαθηται κε ει κεκοιμηται
11,J 11:12,D,[ADD],αυτω,addition,ειπον ουν οι μα θηται αυτω κε,ειπον ουν αυτω οι μαθηται κε ει κοιμαται
11,J 11:14,P66,ο,[OMIT],omission,τοτε ου¯ ειπεν αυτοις ο ις παρ ρησια λαζαρος απεθα,τοτε ουν ειπεν αυτοις ις παρρησια λαζα ρος απεθανεν
11,J 11:18,P66,[ADD],η,addition,ην δε βηθανια εγγυς των ϊεροσολυμων ως,ην δε η βηθανια εγ'γυς των ϊεροσολυμων ως
11,J 11:18,A,[ADD],η,addition,ην δε βηθανια εγγυς των ϊεροσολυμων ως,Ην δε η βηθανια εγγυς των ιερο σολυμων
11,J 11:18,D,[ADD],η,addition,ην δε βηθανια εγγυς των ϊεροσολυμων ως,ην δε η βηθανια ενγυς των ϊεροσολυμων απο
11,J 11:18,D,ως,[OMIT],omission,δε βηθανια εγγυς των ϊεροσολυμων ως απο σταδιων δεκαπε¯ τε,η βηθανια ενγυς των ϊεροσολυμων απο σταδιων δεκαπεντε
11,J 11:19,A,[ADD],και,addition,πολλοι δε εκ των ϊουδαιων,και πολλοι εκ των ιουδαιων εληλυθεισαν
11,J 11:19,A,δε,[OMIT],omission,πολλοι δε εκ των ϊουδαιων εληλυθεισα¯ προς,και πολλοι εκ των ιουδαιων εληλυθεισαν προς
