chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
17,J 17:22,D,[ADD],το,addition,μοι εδωκα αυτοις ινα ωσιν εν καθως ημεις εν εσμε¯,μοι δεδωκα αυτοις ϊνα ωσιν το εν καθως ημεις εν
17,J 17:22,D,εσμε¯,[OMIT],omission,ωσιν εν καθως ημεις εν εσμε¯,το εν καθως ημεις εν
17,J 17:23,P66,ινα ωσιν,ϊνα ω σιν,substitution_morphological,αυτοις και συ εν εμοι ινα ωσιν τετελειωμενοι εις εν και ινα,αυτοις και συ εν εμοι ϊνα ω σιν τετελειωμενοι εις εν και γι
17,J 17:23,P66,ινα γινωσκη,γι νωσκη,substitution_morphological,ωσιν τετελειωμενοι εις εν και ινα γινωσκη ο κοσμος οτι συ με,σιν τετελειωμενοι εις εν και γι νωσκη ο κοσμος οτι συ με
17,J 17:23,P66,απεστειλας,απε στιλας,substitution_morphological,ο κοσμος οτι συ με απεστειλας και ηγαπη σας αυτους καθως,ο κοσμος οτι συ με απε στιλας και ηγαπησας αυτους κα' θως
17,J 17:23,P66,ηγαπη σας,ηγαπησας,substitution_morphological,οτι συ με απεστειλας και ηγαπη σας αυτους καθως εμε ηγαπησας,συ με απε στιλας και ηγαπησας αυτους κα' θως εμε ηγαπησας
17,J 17:23,P66,καθως,κα' θως,substitution_morphological,απεστειλας και ηγαπη σας αυτους καθως εμε ηγαπησας,απε στιλας και ηγαπησας αυτους κα' θως εμε ηγαπησας
17,J 17:23,aleph,ινα ωσιν τετελειωμενοι,ϊνα ω σιν τετελιωμενοι,substitution_morphological,αυτοις και συ εν εμοι ινα ωσιν τετελειωμενοι εις εν και ινα γινωσκη,αυτοις και συ εν εμοι ϊνα ω σιν τετελιωμενοι εις εν και γινωσκη ο
17,J 17:23,aleph,ινα,[OMIT],omission,ωσιν τετελειωμενοι εις εν και ινα γινωσκη ο κοσμος οτι συ,σιν τετελιωμενοι εις εν και γινωσκη ο κοσμος οτι συ
17,J 17:23,aleph,[ADD],η γαπησας αυτους κα θως εμε,addition,οτι συ με απεστειλας και ηγαπη σας αυτους καθως εμε,οτι συ με απεστιλας και η γαπησας αυτους κα θως εμε ηγαπη σας
17,J 17:23,aleph,αυτους καθως εμε ηγαπησας,[OMIT],omission,με απεστειλας και ηγαπη σας αυτους καθως εμε ηγαπησας,κα θως εμε ηγαπη σας
17,J 17:23,B,εν και ινα γινωσκη,ε¯ ϊνα γεινωσκη,substitution_morphological,εμοι ινα ωσιν τετελειωμενοι εις εν και ινα γινωσκη ο κοσμος οτι συ με,εμοι ϊνα ωσιν τετελειωμενοι εις ε¯ ϊνα γεινωσκη ο κοσμος οτι συ με
17,J 17:23,B,ηγαπη σας,ηγαπησας,substitution_morphological,οτι συ με απεστειλας και ηγαπη σας αυτους καθως εμε ηγαπησας,οτι συ με απεστειλας και ηγαπησας αυτους καθως εμε ηγαπησας
17,J 17:23,D,εγω εν αυτοις και,[OMIT],omission,εγω εν αυτοις και συ εν εμοι ινα ωσιν,συ εν εμοι καγω εν
17,J 17:23,D,ινα,καγω εν αυτοις ϊνα,substitution_lexical,αυτοις και συ εν εμοι ινα ωσιν τετελειωμενοι εις εν και,συ εν εμοι καγω εν αυτοις ϊνα ωσιν τετελιωμενοι εις το εν
17,J 17:23,D,[ADD],το,addition,εμοι ινα ωσιν τετελειωμενοι εις εν και ινα γινωσκη ο,αυτοις ϊνα ωσιν τετελιωμενοι εις το εν ϊνα γεινωσκη ο κοσμος
17,J 17:23,D,και ινα γινωσκη,ϊνα γεινωσκη,substitution_morphological,ινα ωσιν τετελειωμενοι εις εν και ινα γινωσκη ο κοσμος οτι συ με,ωσιν τετελιωμενοι εις το εν ϊνα γεινωσκη ο κοσμος οτι συ με
17,J 17:23,D,ηγαπη σας,ηγαπησα,substitution_morphological,οτι συ με απεστειλας και ηγαπη σας αυτους καθως εμε ηγαπησας,οτι συ με απεστειλας και ηγαπησα αυτους καθως συ με ηγαπησας
17,J 17:23,D,εμε,συ με,substitution_lexical,και ηγαπη σας αυτους καθως εμε ηγαπησας,απεστειλας και ηγαπησα αυτους καθως συ με ηγαπησας
17,J 17:24,P66,Πηρ ους εδωκας,περ ο δεδω' κας,substitution_morphological,Πηρ ους εδωκας μοι θελω ινα οπου ειμι,περ ο δεδω' κας μοι θελω ϊνα οπου εγω
17,J 17:24,P66,[ADD],εγω,addition,εδωκας μοι θελω ινα οπου ειμι εγω και εκεινοι ω,κας μοι θελω ϊνα οπου εγω ειμι κακεινοι ωσιν μετ εμου
17,J 17:24,P66,εγω και εκεινοι ω σιν,κακεινοι ωσιν,substitution_morphological,μοι θελω ινα οπου ειμι εγω και εκεινοι ω σιν μετ εμου ινα θεωρωσι¯ την,θελω ϊνα οπου εγω ειμι κακεινοι ωσιν μετ εμου ινα θεωρωσιν την
